model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 598 cm3,2018,115 KM,Diesel,Kombi,258 000 km,Srebrny,Używane,Manualna,Unknown,40 000PLN
Golf,1 896 cm3,2002,101 KM,Diesel,Auta miejskie,340 000 km,Szary,Używane,Manualna,Unknown,5 400PLN
Golf,1 390 cm3,2009,80 KM,Benzyna,Kompakt,154 000 km,Biały,Używane,Manualna,Unknown,22 800PLN
Golf,999 cm3,2019,115 KM,Benzyna,Kombi,130 330 km,Szary,Używane,Manualna,Unknown,51 999PLN
Golf,1 390 cm³,2004,75 KM,Benzyna,Hatchback,216 500 km,Szary,Uszkodzony,Manualna,Unknown,5 800 złdo negocjacji
Golf,1 595 cm3,2005,102 KM,Benzyna,Auta miejskie,212 000 km,Czarny,Używane,Manualna,Niemcy,12 222PLN
Golf,999 cm³,2020,120 KM,Benzyna,Kombi,111 000 km,Inny kolor,Nieuszkodzony,Manualna,Polska,46 000 zł
Golf,1 968 cm³,2004,140 KM,Diesel,Hatchback,265 343 km,Szary,Nieuszkodzony,Manualna,Niemcy,9 300 zł
Golf,1 900 cm³,2000,110 KM,Diesel,Kombi,327 700 km,Srebrny,Nieuszkodzony,Manualna,Polska,4 500 zł
Golf,2 000 cm³,2000,115 KM,Benzyna,Kabriolet,178 582 km,Niebieski,Nieuszkodzony,Manualna,Niemcy,10 900 zł
Golf,Unknown,2015,115 KM,Elektryczny,Auta miejskie,95 000 km,Czarny,Używane,Automatyczna,Unknown,41 000PLN
Golf,1 390 cm³,2000,75 KM,Benzyna,Hatchback,302 305 km,Niebieski,Nieuszkodzony,Manualna,Polska,3 000 zł
Golf,1 390 cm3,2009,75 KM,Benzyna,Auta miejskie,202 000 km,Czarny,Używane,Manualna,Unknown,18 300PLN
Golf,1 390 cm3,2008,80 KM,Benzyna,Auta małe,168 000 km,Srebrny,Używane,Manualna,Unknown,16 900PLN
Golf,1 598 cm3,2012,105 KM,Diesel,Kombi,106 853 km,Czerwony,Używane,Automatyczna,Unknown,35 000PLN
